id,name,code
tt_bank_id_1,BANK BCA,014
tt_bank_id_2,BANK MANDIRI,008
tt_bank_id_3,BANK BNI,009
tt_bank_id_4,BANK BNI SYARIAH,427
tt_bank_id_5,BANK BRI,002
tt_bank_id_6,BANK SYARIAH MANDIRI,451
tt_bank_id_7,BANK CIMB NIAGA,022
tt_bank_id_8,BANK CIMB NIAGA SYARIAH,022
tt_bank_id_9,BANK MUAMALAT,147
tt_bank_id_10,BANK TABUNGAN PENSIUNAN NASIONAL (BTPN),213
tt_bank_id_11,JENIUS,213
tt_bank_id_12,BANK BRI SYARIAH,422
tt_bank_id_13,BANK TABUNGAN NEGARA (BTN),200
tt_bank_id_14,PERMATA BANK,013
tt_bank_id_15,BANK DANAMON,011
tt_bank_id_16,BANK BII MAYBANK,016
tt_bank_id_17,BANK MEGA,426
tt_bank_id_18,BANK SINARMAS,153
tt_bank_id_19,BANK COMMONWEALTH,950
tt_bank_id_20,BANK OCBC NISP,028
tt_bank_id_21,BANK BUKOPIN,441
tt_bank_id_22,BANK BCA SYARIAH,536
tt_bank_id_23,BANK LIPPO,026
tt_bank_id_24,CITIBANK,031
tt_bank_id_25,INDOSAT DOMPETKU,789
tt_bank_id_26,TELKOMSEL TCASH,911
tt_bank_id_27,BANK JABAR,110
tt_bank_id_28,BANK DKI,111
tt_bank_id_29,BPD DIY,112
tt_bank_id_30,BANK JATENG,113
tt_bank_id_31,BANK JATIM,114
tt_bank_id_32,BPD JAMBI,115
tt_bank_id_33,BPD ACEH,116
tt_bank_id_34,BANK SUMUT,117
tt_bank_id_35,BANK NAGARI,118
tt_bank_id_36,BANK RIAU,119
tt_bank_id_37,BANK SUMSEL,120
tt_bank_id_38,BANK LAMPUNG,121
tt_bank_id_39,BPD KALSEL,122
tt_bank_id_40,BPD KALIMANTAN BARAT,123
tt_bank_id_41,BPD KALTIM,124
tt_bank_id_42,BPD KALTENG,125
tt_bank_id_43,BPD SULSEL,126
tt_bank_id_44,BANK SULUT,127
tt_bank_id_45,BPD NTB,128
tt_bank_id_46,BPD BALI,129
tt_bank_id_47,BANK NTT,130
tt_bank_id_48,BANK MALUKU,131
tt_bank_id_49,BPD PAPUA,132
tt_bank_id_50,BANK BENGKULU,133
tt_bank_id_51,BPD SULAWESI TENGAH,134
tt_bank_id_52,BANK SULTRA,135
tt_bank_id_53,BANK EKSPOR INDONESIA,003
tt_bank_id_54,BANK PANIN,019
tt_bank_id_55,BANK ARTA NIAGA KENCANA,020
tt_bank_id_56,BANK BUANA IND,023
tt_bank_id_57,AMERICAN EXPRESS BANK LTD,030
tt_bank_id_58,CITIBANK N.A.,031
tt_bank_id_59,JP. MORGAN CHASE BANK, N.A.
tt_bank_id_60,BANK OF AMERICA, N.A
tt_bank_id_61,ING INDONESIA BANK,034
tt_bank_id_62,BANK MULTICOR,036
tt_bank_id_63,BANK ARTHA GRAHA,037
tt_bank_id_64,BANK CREDIT AGRICOLE INDOSUEZ,039
tt_bank_id_65,THE BANGKOK BANK COMP. LTD,040
tt_bank_id_66,THE HONGKONG & SHANGHAI B.C. (BANK HSBC),041
tt_bank_id_67,THE BANK OF TOKYO MITSUBISHI UFJ LTD,042
tt_bank_id_68,BANK SUMITOMO MITSUI INDONESIA,045
tt_bank_id_69,BANK DBS INDONESIA,046
tt_bank_id_70,BANK RESONA PERDANIA,047
tt_bank_id_71,BANK MIZUHO INDONESIA,048
tt_bank_id_72,STKAMURD CHARTERED BANK,050
tt_bank_id_73,BANK ABN AMRO,052
tt_bank_id_74,BANK KEPPEL TATLEE BUANA,053
tt_bank_id_75,BANK CAPITAL INDONESIA,054
tt_bank_id_76,BANK BNP PARIBAS INDONESIA,057
tt_bank_id_77,BANK UOB INDONESIA,023
tt_bank_id_78,KOREA EXCHANGE BANK DANAMON,059
tt_bank_id_79,RABOBANK INTERNASIONAL INDONESIA,060
tt_bank_id_80,ANZ PANIN BANK,061
tt_bank_id_81,DEUTSCHE BANK AG.,067
tt_bank_id_82,BANK WOORI INDONESIA,068
tt_bank_id_83,BANK OF CHINA LIMITED,069
tt_bank_id_84,BANK BUMI ARTA,076
tt_bank_id_85,BANK EKONOMI,087
tt_bank_id_86,BANK ANTARDAERAH,088
tt_bank_id_87,BANK HAGA,089
tt_bank_id_88,BANK IFI,093
tt_bank_id_89,BANK CENTURY,095
tt_bank_id_90,BANK MAYAPADA,097
tt_bank_id_91,BANK NUSANTARA PARAHYANGAN,145
tt_bank_id_92,BANK SWADESI,146
tt_bank_id_93,BANK MESTIKA,151
tt_bank_id_94,BANK METRO EXPRESS,152
tt_bank_id_95,BANK MASPION,157
tt_bank_id_96,BANK HAGAKITA,159
tt_bank_id_97,BANK GANESHA,161
tt_bank_id_98,BANK WINDU KENTJANA,162
tt_bank_id_99,HALIM INDONESIA BANK,164
tt_bank_id_100,BANK HARMONI INTERNATIONAL,166
tt_bank_id_101,BANK QNB KESAWAN,167
tt_bank_id_102,BANK HIMPUNAN SAUDARA 1906,212
tt_bank_id_103,BANK SWAGUNA,405
tt_bank_id_104,BANK JASA JAKARTA,427
tt_bank_id_105,BANK BISNIS INTERNASIONAL,459
tt_bank_id_106,BANK SRI PARTHA,466
tt_bank_id_107,BANK JASA JAKARTA,472
tt_bank_id_108,BANK BINTANG MANUNGGAL,484
tt_bank_id_109,BANK MNC/BANK BUMIPUTERA,485
tt_bank_id_110,BANK YUDHA BHAKTI,490
tt_bank_id_111,BANK MITRANIAGA,491
tt_bank_id_112,BANK AGRO NIAGA,494
tt_bank_id_113,BANK INDOMONEX,498
tt_bank_id_114,BANK ROYAL INDONESIA,501
tt_bank_id_115,BANK ALFINDO,503
tt_bank_id_116,BANK SYARIAH MEGA,506
tt_bank_id_117,BANK INA PERDANA,513
tt_bank_id_118,BANK HARFA,517
tt_bank_id_119,PRIMA MASTER BANK,520
tt_bank_id_120,BANK PERSYARIKATAN INDONESIA,521
tt_bank_id_121,BANK AKITA,525
tt_bank_id_122,LIMAN INTERNATIONAL BANK,526
tt_bank_id_123,ANGLOMAS INTERNASIONAL BANK,531
tt_bank_id_124,BANK DIPO INTERNATIONAL,523
tt_bank_id_125,BANK KESEJAHTERAAN EKONOMI,535
tt_bank_id_126,BANK ARTOS IND,542
tt_bank_id_127,BANK PURBA DANARTA,547
tt_bank_id_128,BANK MULTI ARTA SENTOSA,548
tt_bank_id_129,BANK MAYORA,553
tt_bank_id_130,BANK INDEX SELINDO,555
tt_bank_id_131,BANK VICTORIA INTERNATIONAL,566
tt_bank_id_132,BANK EKSEKUTIF,558
tt_bank_id_133,CENTRATAMA NASIONAL BANK,559
tt_bank_id_134,BANK FAMA INTERNASIONAL,562
tt_bank_id_135,BANK SINAR HARAPAN BALI,564
tt_bank_id_136,BANK HARDA,567
tt_bank_id_137,BANK FINCONESIA,945
tt_bank_id_138,BANK MERINCORP,946
tt_bank_id_139,BANK MAYBANK INDOCORP,947
tt_bank_id_140,BANK OCBC â€“ INDONESIA,948
tt_bank_id_141,BANK CHINA TRUST INDONESIA,949
