id,name,alias,code,active,provider_type_id/id
tt_provider_1,Sabre,,sabre,1,tt_base.tt_provider_type_1
tt_provider_2,Amadeus,,amadeus,1,tt_base.tt_provider_type_1
tt_provider_3,Garuda,,garuda,1,tt_base.tt_provider_type_1
tt_provider_4,Citilink,,amadeus,1,tt_base.tt_provider_type_1
tt_provider_5,AirAsia,,airasia,1,tt_base.tt_provider_type_1
tt_provider_6,Jetstar,,jetstar,1,tt_base.tt_provider_type_1
tt_provider_7,Scoot,,scoot,1,tt_base.tt_provider_type_1
tt_provider_8,Singapore Airlines,,sia,1,tt_base.tt_provider_type_1
tt_provider_9,Trigana,,trigana,1,tt_base.tt_provider_type_1
tt_provider_10,Transnusa,,transnusa,1,tt_base.tt_provider_type_1
tt_provider_11,Sriwijaya,,sriwijaya,1,tt_base.tt_provider_type_1
tt_provider_12,Altea,,altea,1,tt_base.tt_provider_type_1
tt_provider_13,Lion Air,,lionair,1,tt_base.tt_provider_type_1
tt_provider_14,Xpress Air,,xpressair,1,tt_base.tt_provider_type_1